word,1700-1709,1710-1719,1720-1729,1730-1739,1740-1749,1750-1759,1760-1769,1770-1779,1780-1789,1790-1799,num_decades,rank
amusement,,,,,,,,,42,44,2,135
absentees,,,,,29,59,,,,,2,136
badness,13,,,76,,,,,,,2,137
parsimony,,,52,,38,,,,,,2,138
sterility,,,,,,,74,,18,,2,139
anatomist,,,,,,57,39,,,,2,140
commensurate,,,,41,,,,,,57,2,141
politics,57,,45,,,,,,,,2,142
instructing,,,,,,,65,,,38,2,143
complications,,56,,,,,,,51,,2,144
ridiculousness,,,,58,,,,49,,,2,145
theoretical,,,,,,,60,,47,,2,146
diversifying,,,,,,82,,,,28,2,147
re-establishment,,,,,16,,,,,96,2,148
developing,,,,,,,,97,,16,2,149
rectifying,16,,,,,,,100,,,2,150
progress,,,,,,,,,53,64,2,151
regularity,76,41,,,,,,,,,2,152
vending,,,25,95,,,,,,,2,153
distributions,,,,,,89,,,32,,2,154
prejudicing,,,,,,62,,,59,,2,155
encouragement,,,,,,64,,58,,,2,156
exhibiting,,,61,62,,,,,,,2,157
facilitated,,,,,,,70,,,54,2,158
satisfactions,,,,89,,,,,,35,2,159
capacity,,,,,,69,59,,,,2,160
plantation,,64,,,69,,,,,,2,161
seasoning,,99,,,,34,,,,,2,162
compensates,,,,,,,,83,,51,2,163
impairing,,40,,,,,94,,,,2,164
well-ordered,,,,,,,69,65,,,2,165
adroitness,,,,,,66,,,69,,2,166
incomes,,37,,99,,,,,,,2,167
fineness,58,79,,,,,,,,,2,168
narrowness,88,51,,,,,,,,,2,169
plating,,,,,,,,,80,60,2,170
conducive,,54,,,,,,87,,,2,171
versatility,,,,,,,,,60,81,2,172
accumulating,,,,50,,,95,,,,2,173
versification,47,,98,,,,,,,,2,174
dependencies,,100,,,,,,47,,,2,175
retrenching,,,,,,,,,55,93,2,176
manufactures,,,,,81,70,,,,,2,177
accelerating,,,,,,,,70,,83,2,178
remedying,,,,,82,,,72,,,2,179
attainable,,83,,,,,77,,,,2,180
deduction,,86,,,,,,,,74,2,181
cultivate,,87,,,,,,74,,,2,182
inculcating,,,,,,88,73,,,,2,183
specimens,,,75,87,,,,,,,2,184
inquisitiveness,,,,,96,,,,,70,2,185
purchasing,,98,68,,,,,,,,2,186
propagation,,82,,85,,,,,,,2,187
accumulations,,,,,,,,,78,91,2,188
embellishing,,,85,,,,,,,86,2,189
correcting,,,81,,,,91,,,,2,190
strengthening,80,92,,,,,,,,,2,191
polishing,,,,,92,,81,,,,2,192
learners,99,,,,,,75,,,,2,193
aptitude,,,78,,,,,,,100,2,194
anatomical,96,89,,,,,,,,,2,195
deism,92,,93,,,,,,,,2,196
exercising,,91,,94,,,,,,,2,197
activity,98,90,,,,,,,,,2,198
researches,,94,,98,,,,,,,2,199
equipment,,,,,,98,,99,,,2,200
agricultural,,,,,,,,,,8,1,201
enrichment,,,,,,11,,,,,1,202
instilling,,,,,,,12,,,,1,203
diversities,,,,,,,,,,14,1,204
perversion,,,,,,14,,,,,1,205
practising,,,,,,,14,,,,1,206
bathos,,,15,,,,,,,,1,207
operative,,,,,,,17,,,,1,208
sugars,18,,,,,,,,,,1,209
newness,19,,,,,,,,,,1,210
upholders,,,,19,,,,,,,1,211
preservation,,20,,,,,,,,,1,212
projectors,,,21,,,,,,,,1,213
advancers,,,22,,,,,,,,1,214
patronizing,,,,,,,24,,,,1,215
cultivated,,,,,,25,,,,,1,216
singularities,,,,,,,,27,,,1,217
transmission,,,,,28,,,,,,1,218
enlarging,,,29,,,,,,,,1,219
traffic,29,,,,,,,,,,1,220
acuteness,,30,,,,,,,,,1,221
naturalist,,,,,,,,,,30,1,222
physics,,,,,,,,,30,,1,223
distribution,,,,31,,,,,,,1,224
gainful,,,,,,,,,33,,1,225
lotteries,,,34,,,,,,,,1,226
traditional,,35,,,,,,,,,1,227
projector,,,37,,,,,,,,1,228
proficient,,,38,,,,,,,,1,229
proprieties,,38,,,,,,,,,1,230
microscopes,,,,,39,,,,,,1,231
adepts,,,40,,,,,,,,1,232
completion,,,,40,,,,,,,1,233
disclosure,,,,,,,,40,,,1,234
laboratory,,,,,40,,,,,,1,235
policies,,,,,,40,,,,,1,236
proportioning,,,,,,,,,,40,1,237
naturals,,,,,,41,,,,,1,238
compensate,,,,,42,,,,,,1,239
futility,,,,,,,42,,,,1,240
rectify,,42,,,,,,,,,1,241
evincing,,,,,,,,43,,,1,242
failures,,,,,,43,,,,,1,243
inexhaustible,,43,,,,,,,,,1,244
fortune-telling,,,,,,,,44,,,1,245
longevity,,,,,,,44,,,,1,246
multiplicity,,44,,,,,,,,,1,247
politeness,,,44,,,,,,,,1,248
embellish,,46,,,,,,,,,1,249
realizing,,,,,,,,,,46,1,250
aptness,,47,,,,,,,,,1,251
exporting,,,48,,,,,,,,1,252
models,,,,,,48,,,,,1,253
conserving,,,,,49,,,,,,1,254
deductions,,,,,,,49,,,,1,255
refining,,,49,,,,,,,,1,256
analytical,50,,,,,,,,,,1,257
chemistry,,,,,51,,,,,,1,258
constituents,,,,,,52,,,,,1,259
decoration,,,,52,,,,,,,1,260
deducing,52,,,,,,,,,,1,261
collector,,,,,,53,,,,,1,262
insuring,,,,,,,,53,,,1,263
implanting,,,54,,,,,,,,1,264
independence,,,,54,,,,,,,1,265
permanence,,,,,,54,,,,,1,266
functions,55,,,,,,,,,,1,267
prospering,,,,55,,,,,,,1,268
supplements,,,,,55,,,,,,1,269
professional,,,,,,,,,56,,1,270
coarsest,,57,,,,,,,,,1,271
detecting,,,,57,,,,,,,1,272
stability,,,57,,,,,,,,1,273
articular,,,,,58,,,,,,1,274
erudition,,59,,,,,,,,,1,275
defect,60,,,,,,,,,,1,276
dieting,,,,,60,,,,,,1,277
dispenser,,60,,,,,,,,,1,278
incorporating,,,60,,,,,,,,1,279
concessions,,,,,61,,,,,,1,280
horoscopes,61,,,,,,,,,,1,281
procurement,,,,,,61,,,,,1,282
decorating,,,,,,,,63,,,1,283
defaults,,63,,,,,,,,,1,284
disquisitions,63,,,,,,,,,,1,285
monopoly,,,,,63,,,,,,1,286
perceptive,,,,,,,63,,,,1,287
tendencies,,,,,,,,,,63,1,288
universality,,,,,,,,,63,,1,289
investigating,,,,,,,,,64,,1,290
largeness,64,,,,,,,,,,1,291
rusticity,,,64,,,,,,,,1,292
possibilities,,,,,,,,,66,,1,293
productive,,,66,,,,,,,,1,294
self-denial,,,,,,,,66,,,1,295
smallness,67,,,,,,,,,,1,296
spirituality,,67,,,,,,,,,1,297
superfluities,,,,,,,,,,67,1,298
accounting,,,,,,,,,68,,1,299
appropriating,,,69,,,,,,,,1,300
importation,69,,,,,,,,,,1,301
defects,70,,,,,,,,,,1,302
smattering,,70,,,,,,,,,1,303
cartesian,71,,,,,,,,,,1,304
fund,,,,,,,,,71,,1,305
mathematics,,,,,,,,,,71,1,306
mercantile,,,,,,71,,,,,1,307
philosophizing,,,,71,,,,,,,1,308
testimonials,,71,,,,,,,,,1,309
exerting,72,,,,,,,,,,1,310
improv,,,,,72,,,,,,1,311
manufacturing,,,,,,72,,,,,1,312
practitioners,,,,72,,,,,,,1,313
calculation,,,73,,,,,,,,1,314
capriciousness,,,,,73,,,,,,1,315
manifesting,73,,,,,,,,,,1,316
discouragement,,,74,,,,,,,,1,317
ship-building,,,,,,74,,,,,1,318
wariness,74,,,,,,,,,,1,319
impoverishing,,,,75,,,,,,,1,320
requisites,,,,,,,,75,,,1,321
undetermined,,75,,,,,,,,,1,322
advantages,,,,,,,,76,,,1,323
enlargements,,,,,76,,,,,,1,324
erection,77,,,,,,,,,,1,325
fitness,,77,,,,,,,,,1,326
managements,,,,,,77,,,,,1,327
managing,78,,,,,,,,,,1,328
obstetrical,,,,,,,78,,,,1,329
gratifications,,,,79,,,,,,,1,330
speculation,,,,,,,,,79,,1,331
stipends,,,,,,79,,,,,1,332
encouragements,,,80,,,,,,,,1,333
